schlcode,classid,c_size,classize,avgverb,avgmath,instrument,avg4_verb,avg4_math
51036,1,49,22,83.36,82.32,24.5,84.34837394536927,78.88627748711164
51036,2,49,27,78.96,76.08,24.5,84.34837394536927,78.88627748711164
51038,1,70,35,80.74,72.13,35.0,77.99999897515596,77.0
51038,2,70,35,82.88,70.74,35.0,77.99999897515596,77.0
51039,2,114,38,84.15,81.06,38.0,73.63407949799473,70.50563138202556
51039,3,114,39,79.63,74.05,38.0,73.63407949799473,70.50563138202556
51039,1,114,37,79.47382,76.23706,38.0,73.63407949799473,70.50563138202556
51040,1,61,33,75.45,64.13,30.5,74.90800135685848,73.46184751070463
51040,2,61,28,74.78,60.41,30.5,74.90800135685848,73.46184751070463
51041,1,129,31,81.19,77.26,32.25,73.99999915228949,71.99999809265137
51041,2,129,32,78.24,69.97,32.25,73.99999915228949,71.99999809265137
51041,3,129,32,76.39,62.38,32.25,73.99999915228949,71.99999809265137
51041,4,129,34,72.23,63.43,32.25,73.99999915228949,71.99999809265137
51042,1,118,32,85.89,82.21,39.333333333333336,77.0000006866455,72.00000114440918
51042,2,118,33,83.0,74.13,39.333333333333336,77.0000006866455,72.00000114440918
51042,3,118,30,81.24,79.8,39.333333333333336,77.0000006866455,72.00000114440918
51042,4,118,28,76.2,67.44,39.333333333333336,77.0000006866455,72.00000114440918
51043,1,96,32,88.57,83.54,32.0,81.99999923706055,75.9999993218316
51043,2,96,32,84.93,78.96,32.0,81.99999923706055,75.9999993218316
51043,3,96,32,82.21,86.38,32.0,81.99999923706055,75.9999993218316
51044,1,61,28,66.41,62.82,30.5,64.00000165543466,68.0
51044,2,61,33,67.91,67.29,30.5,64.00000165543466,68.0
51045,1,51,24,70.25,59.28,25.5,77.05646844003715,72.58744931688496
51045,2,51,27,80.31,67.77,25.5,77.05646844003715,72.58744931688496
51046,1,40,20,66.6,58.15,40.0,74.0,64.0
51046,2,40,20,65.05,60.7,40.0,74.0,64.0
51048,2,130,31,71.3,66.8,32.5,70.87322727326423,70.06864959474593
51048,3,130,34,78.38,69.78,32.5,70.87322727326423,70.06864959474593
51048,4,130,30,70.88,55.31,32.5,70.87322727326423,70.06864959474593
51048,1,130,35,74.58875,67.314064,32.5,70.87322727326423,70.06864959474593
51049,1,34,34,68.03,69.65,34.0,63.31999969482422,58.68000030517578
51050,1,96,34,66.11,55.26,32.0,74.99999776700648,74.99999795308928
51050,2,96,31,71.75,62.9,32.0,74.99999776700648,74.99999795308928
51050,3,96,31,91.72,92.34,32.0,74.99999776700648,74.99999795308928
51051,2,50,25,77.04,77.8,25.0,75.98476785513071,73.39692218487079
51051,1,50,25,64.708336,61.875,25.0,75.98476785513071,73.39692218487079
51052,1,81,40,70.69,67.91,27.0,76.09957155500139,72.9989996773856
51052,2,81,41,69.66,63.69,27.0,76.09957155500139,72.9989996773856
51053,1,35,14,52.0,45.38,35.0,55.0000006539481,46.9999989100865
51053,2,35,21,60.56,48.28,35.0,55.0000006539481,46.9999989100865
51054,1,72,36,69.46,67.14,36.0,75.54000091552734,72.66054266852302
51054,2,72,36,67.69,62.64,36.0,75.54000091552734,72.66054266852302
51055,1,47,24,72.2,69.4,23.5,74.0,78.0
51055,2,47,23,77.2,71.48,23.5,74.0,78.0
51056,1,115,37,76.82,71.21,38.333333333333336,67.19163436156053,68.0024023422828
51056,3,115,40,78.84,68.37,38.333333333333336,67.19163436156053,68.0024023422828
51056,2,115,38,75.22457,73.58361,38.333333333333336,67.19163436156053,68.0024023422828
51057,1,65,30,56.14,48.04,32.5,52.89538486187275,46.603077815129204
51057,2,65,35,65.81,62.69,32.5,52.89538486187275,46.603077815129204
51058,1,67,33,60.21,57.62,33.5,58.999999437175816,56.999998561671525
51058,2,67,34,65.07,50.53,33.5,58.999999437175816,56.999998561671525
51059,1,39,38,68.94,58.63,39.0,68.38000030517578,61.6442860194615
51062,1,72,38,72.05,55.87,36.0,70.9999996609158,66.9999996609158
51062,2,72,36,72.13,58.5,36.0,70.9999996609158,66.9999996609158
51063,2,87,31,77.3,73.37,29.0,80.727609053902,77.0015373649178
51063,3,87,28,79.73,70.93,29.0,80.727609053902,77.0015373649178
51063,1,87,28,80.18593,74.65889,29.0,80.727609053902,77.0015373649178
51068,1,86,38,71.52,62.26,28.666666666666668,72.35194892387885,71.50831128405287
51068,2,86,37,68.57212,70.513794,28.666666666666668,72.35194892387885,71.50831128405287
51069,1,53,28,81.22,68.04,26.5,76.21063524611453,66.59361867701753
51069,2,53,26,81.6,68.84,26.5,76.21063524611453,66.59361867701753
51070,2,53,26,76.5,67.69,26.5,77.40944078233507,69.66631370678283
51070,1,53,27,84.42105,73.53294,26.5,77.40944078233507,69.66631370678283
